WeekID,Week Position,Song,Performer,SongID
2016-11-26,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2016-12-03,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2016-12-10,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2016-12-17,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2016-12-24,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2016-12-31,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2017-01-07,1,Starboy,The Weeknd Featuring Daft Punk,StarboyThe Weeknd Featuring Daft Punk
2017-01-14,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Black BeatlesRae Sremmurd Featuring Gucci Mane
2017-01-21,1,Bad And Boujee,Migos Featuring Lil Uzi Vert,Bad And BoujeeMigos Featuring Lil Uzi Vert
2017-01-28,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-02-04,1,Bad And Boujee,Migos Featuring Lil Uzi Vert,Bad And BoujeeMigos Featuring Lil Uzi Vert
2017-02-11,1,Bad And Boujee,Migos Featuring Lil Uzi Vert,Bad And BoujeeMigos Featuring Lil Uzi Vert
2017-02-18,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-02-25,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-03-04,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-03-11,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-03-18,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-03-25,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-04-01,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-04-08,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
2017-04-15,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran
